Id	EssaySet	Score1	Score2	EssayText
4970	3	0	0	Chinas pandas and Australia's koala bears are similar because they each only eat one kind of food that it. The phython can eat anything pretty much. Thats how the phython is different from the pandas and koala. The koala eats eucalyptus leaves and pandas eat only bamboo.
4971	3	1	1	The China's panda eats almost nothing but bamboo and the Astrailia koala bear eats eucalyptus almost exclusively.
4972	3	1	1	Pandas in China are similar to koalas in Australia since they are both specialists that eat a certain type of food almost exclusively. They are different from pythons because pythons can live anywhere and are most abundant in or around humans.
4973	3	1	1	Pandas and koalas eat almost one food exclusively while pythons will just about anything to get nutrition.
4974	3	2	1	Pandas in China are similar to koalas in Australia because they are both specialists. Another similarity between the two is that they both feed to one specific plant. Pandas and koalas are different than pythons because a python is a generalist. Also a python has more than one food source that is not plant or vegetation.
4975	3	1	2	Pandas in China are similar to koalas in Australia because they both eat mostly only one kind of food. Pandas eat mostly bamboo and koalas eat mostly eucalyptus leaves. Pandas and koalas are different from pythons because pythons will eat anything they can find. For example, that pythons in Florida that tried to eat an alligator.
4976	3	1	0	Both pandas in China and koalas in Australia are similar by the way that they both eat naturally growth vegestables like bamboo or eucalyptus plants; Yet they both differ from pythons because while they eat plants, the pythons consumes animals like wond rats- even alligators.
4977	3	1	0	Pandas in China are similar to koala bears in Australia beause they both eat plants and try to stay out of harms way. On the other hand pythons are different because they will eat anything from mice to alli gators and kill what is ever in its path.
4978	3	1	1	The China's panda and the Australia's koala are both specialist because they eat the same most of the time. Pythons are generalist which can eat diffent types of animals.
4979	3	2	2	China's panda and Australia's koala are similar because they are both special lists. This means that they only eat specific items, such as bamboo and eucalyptus leaves. The python, on the other hand, is a generalist carnivor that will eat any meat.
4980	3	2	1	China's panda are similar to Australias Koalas because they both have a strict diet and are picky paters. They are both different from pythons because a python will eat a lot more different food. Like the time when a python swallowed a n alligator and exploded in the Everglades in 2005.
4981	3	1	2	Pandas in China are similar to koalas in Australia because they are both specialists. Both eat almost nothing but a certain type of plant from their native lands. Both koalas and pandas are different from pythons in that, according to the author, pythons are generalists. They are able to live in many places though small adaptations such as eating whatever animals they can find.
4982	3	1	1	Pandas in China are similar to koalasa in Australia because they both are specialists. Also they only eat one thing. For example pandas only eat bamboo and koalas eat eucalyptus leaves. They are different because they eat different things. In the article it says panda eat bamboo and koalas eat eucalyptus leaves.
4983	3	1	1	Pandas in China and koala's in Australia are similar because they both eat leaves and bamboo and would only survive in the jungle. In the article it says that pandas eat ''almost nothing but bamboo,'' and Australia's koala bear ''eats eucalyptus leaves.'' They differ from pythons because they're able to live anywhere.
4984	3	1	1	"Pandas in China are similar to koalas in Australia because they are both specialist. ""A specialist is China's panda, which eats almost nothing but bamboo, or Australia's koala bear, which eats eucalyptus leaves almost exclusively"". They both rely on specific food sources that are found only in certain areas. This differs from the pythons who can thrive in many different environments and have a more varied diet."
4985	3	1	1	Just like phythons, koalas and pandas need their space. They live in a certain enviroment, that they can adapt to. Every animal must adapt to its place at where it lives. They can't just get up and move its not that easy.
4986	3	1	1	Panda's and koala's are similar in the way that they only like to eat one specific food, and nothing else. They are different from the python because they are not invasive to where they live. their population is extremely low and they are not being damaging to their home environment.
4987	3	0	1	China pandas and Australia koalas are similar because there both plant eaters and there both a specialist. There both different than pythons because a python is a generalist.
4988	3	1	2	Panda  and koalas are similar because they're both specialists and they both eat pretty much only one type of plant. They are both different from pythons because pythons are generalists, so they will eat almost anything; also pythons are invasive and pandas are koalas are not.
4989	3	0	1	Pandas in China are similar to koalas in Australia by both of them being a specialist. Also they both only eat one type of food. Pandas eat bamboo while koalas eat eucalyptus leaves as stated on paragraph 21. They also differ from pythons because pythons are generalist which is said on paragraph 20.
4990	3	1	2	Pandas in China are similar to koalas in Australia because they both rely on only a certain type of food and can only survive in their natural habitat where that food is available. They are both different from pythons, because unlike pandas & koalas, pythons can survive in many different environments and they are not picky when it comes to eating.
4991	3	1	1	Pandas in China and koalas in Australia are similar because they can only survive in very special climates with specific food sources. These are different from pythons because pythons can adapt better and eat many different things. This is shown in the map provided with the article because it shows pythons could survive in 17 states.
4992	3	1	1	The pandas and koalas are alike because they both only eat one thing. As with the pythons they eat a few different things. They are different types of animals so they need different things.
4993	3	0	0	Pandas in China are similar to koalas in Aus because they are both anunaunt  and specialists that eat bamboo &,eucalyptus leaves so they can't be harmful to humans. They live in a certain place, unlike pythons which are generalists so they can rang from Florida to Antartica to outer space.
4994	3	0	0	"Pandas in China are similar to koalas in Australia by which they both are ""specialist."" Pandas eats almost nothing but bamboo and koalas eats eucalyptus leaves almost exclusively. Verse pythons are ""generalist"" that could eat anything."
4995	3	1	1	"Pandas and koala's are similar in they're eating habits: ""China's panda which eats almost nothing but bamboo or Australia's koala bear which eat leaves almost exclusively. They differ from pythons because the article explains how pythons eat all of the habitats native animals causing potential extinction where as these 2 bears do not."
4996	3	2	2	Pandas in China are similar to koalas in Australia because they don't eat everything. They are both different from pythons because pythons will eat anything.
4997	3	0	0	China's panda and Australia's koala bear have a lot incomon, they both live in the cold and they are both bears. They are different from a python because a python eats almost anything and a koala bear in panda donot.
4998	3	2	2	Pandas in China, and koalas in Australia are similar because they both are specialists. So they have to stay in specific habitats to survive. Pythons are generalists, they can move anywhere and adapt to their surroundings to survive. In the article it says that the pandas mostly eat bamboo and koalas mostly eat eucalyptus leaves.
4999	3	2	1	Pandas and Koalas are both alike because they are specialists. They both consume a primary food. For example pandas' diets are mainly made up of bamboo; Koalas diets mainly consist of eucalyptus leaves. They differ from pythons because they can only live in places where their primary food source is present.
5000	3	2	2	The China's panda and Australia's koalas are similar because are specialist so can subsist with hurmn stwond and they are different of pythons because are generalist so can subsit many place but the specialist not can only at a determinate place.
5001	3	0	0	Panda's are similar to koala bears because they both eat only one thing and those things which are bamboo, and eucalyptus leaves. These two bears on aren't harming anything by eating the foods. But pythons eat almost anything that moves and they are harming the enviornnent.
5002	3	2	2	The pandas in China and koalas in Australia are similar because both species live in only one area around the world. Also both just eat one type off food like bamboo and eucalyptus leaves. But both pandas and koalas are different than the python because a python can eat many foods and live in different areas around the world.
5003	3	1	1	The pandas in China are similar to koala bear in Australia because they only eat plants. There different because the one in China eat only bamboo and the one from Australia eats eucalyptus leaves almost exclusively.
5004	3	0	0	"Pandas in China and koalas in Australia are different from pythons because they at normal and they really dont eat anything. I know this because in the passage, it said, "" China panda eats almost nothing but bamboo, or Australia koala bear eats eucalyptus leaves. Pandas and koala are similar because they are both specialists."
5005	3	2	1	Pandas are similar to koalas because they are both specialists. For example bamboo is to pandas as eucalyptus leaves is to koalas. These two species are different from snakes since a snake is a generalist species. Snakes are generalists because they can adapt to many different locations where as pandas are stuck on China and koalas are in Australia.
5006	3	0	0	Pandas in China are similar to koalas in Australia because they are both specialists. A specialist like the panda and koala both eat specific things and might not be able to adapt to a new place like a python. Pandas and koalas are different from pythons because pythons can live anywhere from Florida to Antarctica to outer space. Where as pandas and koalas can not.
5007	3	0	1	"Pandas in China are similar to koalas in Australia because they are both specialists. They eat trees and are very harmful. They are both different from pytons because pytons eat other species, and they are very harmful. ""A python swallowed an alligator and there's not a delicate way to put it exploded"" according to the article."
5008	3	0	0	Pandas in China are similar to koalas in Australia because they are two animals that are specialist and are found to be harmless, because it says in the article they only eat plants. They are both different from pythons because they are not seen no a threat. Where as pythons are a threat even to other animals like in the article a python ate an alligator.
5009	3	1	1	Panda from china and koalas from Australia are in the very similar.They are both specialists.They live eating special plants like bamboo and eucalyptus leaves while pythons are very different.They can eat almost anything and kill only animals as a source of food.They are also eaten made pets so they have a better chance of survival.
5010	3	1	1	"The China panda bear and the Australian Koala bear are both specialists. "" what  favors specialists is stability"" ( Achen bach). The panda bear and the  Koala bear are different from the pythons because the pythons is a generalists "" what favors generalists is change, "" ( Achanbach)"
5011	3	0	1	China's pandas and Australia's koala both have specific food sources from specific places,pythons can live anywhere from Florida to Australia with the assistance of technology.
5012	3	1	1	Pandas in China are similar to koalas in Australia because they tend to get fod or eat the same meal a day while pythons are endangering species, the they largo wood rat.
5013	3	1	1	Pandas and koalas both have to stay in certain area of the world. For them to survive they need to eat food exclusive to their homeland. Pythons on the other hand can live in a variety of climates. The article states that they can be found in Asia and America.
5014	3	0	0	Pandas in China are similar to koalas in Australia because they both are under the category of a harmless animals and eat nothing but plants mainly. They both differ from python because pythons are dangerous reptiles that can kill someone or an animal and panda and koalas are harmless.
5015	3	2	1	Both pandas in China and Koalas in Australia are similar because they they are specialist. This means that they would not be able to survive anywhere else because the certain food sources they need are only incaled in China and Australia. A python , a generalist is different because it can live anywhere on earth, as long as it has a climate that is suitable.
5016	3	2	2	Pandas are specialist, meaning they dine on bamboo. Koala's do much of the same thing. They eat only eucalyptus leaves. Both these animals are different from pythons. In the article the author talks about them being generalists, this means the python can live almost anywhere in the world. Pandas and koala's, however, can not.
5017	3	0	0	Pandas and koalas are both mamals and humb . They are diferent fromoe pythons is that they of warm and fluffy and furry and snake are scale and unapealing to the eye.
