essay_id	essay_set	essay	rater1_domain1	rater2_domain1	rater3_domain1	domain1_score	rater1_domain2	rater2_domain2	domain2_score	rater1_trait1	rater1_trait2	rater1_trait3	rater1_trait4	rater1_trait5	rater1_trait6	rater2_trait1	rater2_trait2	rater2_trait3	rater2_trait4	rater2_trait5	rater2_trait6	rater3_trait1	rater3_trait2	rater3_trait3	rater3_trait4	rater3_trait5	rater3_trait6
6061	3	"The features of the setting in Yosemite give the cyclist something in look forward to, but the feature of the sorting that he is in enduse in get there causes him despaire. As soon as the cyclist passes a ghost town and notices swettering hed of the sun during early endeavers of the trip he checks himself up as he says,""I brely noticed it [the sun], the cool pines and rushing hills of Yosemite had my name written all over them. Although the cyclist began to feel the toll that the trip and the sun was going to take on him, he erased the morning with the hope and bealy of arriving at Yosemite. The more the cyclist noticedthe sun the more he drank untill his water supply seemed low, striping as an old rusty water pump he had hope of being replenished but the taste of bitter battery acid caused the cyclist to stop drinking. The rolling hills, Sun and tumbleweds did nothing to quech the cyclist thirst or at least divert his assertion. If the cyclists was to see a sign that said Yosemite @NUM1 miles away his spirits would have risen, instead he saw a sign that said, ”Rough Road Ahead” which did nothing to help him. If the terrain was more poporsed, easier to travel on and in plenty supply of water, the tune of this passive would be more hoped instead in such despair, the features of the setting caused the cyclist grief instead of hope."	3.0	3.0		3.0																					
6075	3	In the essay “Rough Road Ahead: Do Not Exceed Posted Speed Limit,” the author changes the mood by not only telling us how the cyclist feels, but also by describing his environment. As he's leaving the “resevoir compground” he’s feeling pretty good because he’s just leaving “the serenity of an early-summer evening and he’s headed toward “The cool pines and rushing rivers of Yosemite.” He’s in a beautiful setting and this affects the cyclist because he’s anticipating another one. However, when he moves to the “ghost town” and the “sun was beginning to beat down” he’s less confident and becoming more doubtful about the mens advice. However, he’s still optimistic, finally it funny that it was once “a thriving little spot.” Next, when the cyclist comes to “one ramshackle shed, several rusty pumps and a coral” he knows that things are in bad shape and he @CAPS1 water. However, all the have is a “tarlike substance” so he moves on, having no choice. When he comes to the “rough road tumbleweeds and a ridiculously large snake” it effects the cyclist by letting him know that things are at their worst and he can either give up, or keep pushing through. I doubt it could get any worse, and so does the cyclist. Finally, at the end the cyclists enters a rather modern bathroom” and things are back to civilization for him, so he feels relaxed, relieved and much better. 	3.0	3.0		3.0																					
6079	3	"In the text, the features of the setting greatly affect the cyclist. For example, the text states, “There was no one in sight, not a building, or structure of any kind.” This made the cyclist very lonely and they started to lose hope of finding water. Secondly, the text stated, ""In an ironic twist the building abandoned years easlier, by the looks of it-had been a Welch’s Grape Juice factory” This made the cyclist lose more hope, after he thought the building would have people in it and he got excited. Lastly, the text states, “GRAPE AND @CAPS1’S FISH CAMP” The sight of this building gave the cyclist hope and happiness for finding a place to get a drink. The setting’s features greatly affect the cyclist's feelings."	2.0	3.0		3.0																					
6084	3	There are several features that the cyclist encountered, and all of them affected the cyclist. For example, “several rusty bumps,” is a quote of the text explaining that he wasn’t riding on smooth ground he was riding on rough, hard, bumpy ground. Also he had a huge lack of water he was water depleted he couldn’t even go the speed limit, he was going 12 mph, he could have been going 55 mph. “Rough roads ahead Do not exceed posted speed limit,''  this is another quote expressing the dangers in the ride that he was risking. All these things made the cyclist uncomfortable, dehidrated, and very tired.	3.0	2.0		3.0																					
6085	3	The setting in “Rough Road Ahead: Do Not Exceed Posted Speed Limit” was a very large factor of the story that was actually the cause of the protagonist’s problem throughout. First it started off with the large hills he had to ride up, making him work harder and tire himself out quickly. Next the big problem was the heat of June, “ and the growing realization that I could drop from a heatstroke on a gorgeous day in June simply because ” The heat was so really bad because it made him hot, thus depleting his water supply [which he needed to survive] and it gave the large, almost inevitable risk of falling from a heatstroke and dying. The heat also made the abandoned Juice Factory all the more ironic and bitter for the protagonist. “A sand blasted picture of a young boy pouring a refreshing glass of juice into his mouth could still be seen.” @CAPS1, in the unbearable heat with no water left and @CAPS2 knows how many miles left to cycle, this really made him feel like the sorriest, unluckiest man in the world. The setting overall, seemed almost crafted to make the protagonist not only suffer from the natural elements, but from things that seemed meant purely taunt him for it. 	3.0	3.0		3.0																					
6089	3	In the eassy “DO NOT Exceed posted speed limit,” It is a clear cut for survival as it seems that this man is fighting to stay alive. As l know cyclists pedal for hours at a time and sometimes for hundreds of miles of he was biking where green grass and cool mountains collide the tone and mood of the essay would of beam completely different.He uses sentences such as “… of two hundred degrees, deteriorating brain, birds would pick me up clean and drop from heatstroke.” @CAPS1 all make me want to read further in the essay to see lf he will be ok by thes end of his journey? I know what the feeling is when you are low of fluids because l have chronic dehydrated. I couldn’t imagine biking and only seeing desert hiss and passing tumble weed. It sounds like an awful experience. If he were somewhere cooler and colorful his experience wouldnt of been so horrific.	3.0	3.0		3.0																					
6091	3	"The features in the setting of ""Rough Road ahead"" affect the cyclist. First of all, the weather causes most of his problems. Since the cyclist was biking in a california desert in June the temperature had to be in the @NUM1's. This causes him to become dehydrated, which is evident when he states, ""I had been hitting my water bottles quite regularly"" The heat therefore causes the cyclist to drive excessively and run out of water, also, the objects the cyclsit comes across on his journey affect him. For example, while riding on a rough path, ""a ridiculously large snake blocked the majority of the pavement in front of me."" This saves the biker progress and most likely scared him. The cyclsit is greatly affected by the features in the story setting."	2.0	3.0		3.0																					
6095	3	"The features of the setting in the essay, “Rough Road Ahead: Do Not Exceed Posted Speed Limit,” greatly affected the cyclist. In the beginning of this man’s journey he was confident in his abilities. “I rode in the morning with strong legs and a smile on my face.”  The cyclist was prepared for an exciting day and the setting supported this feeling. ""The cool pines and rushing rivers of Yosemite had my name written all over them."" @CAPS1, as the setting began to change and his water ran out, the cyclist's attitude changed. He was “traveling through the high deserts of California in June” without much water and begun to feel desperate. As more and more abandoned buildings and deserted towns appeared he went into despair. “At some point, tumbleweeds crossed my path and a ridiculously larg snake - it really did look like a diamondback-blocked the majority of the pavement in front of me.” He was in the middle of nowhere with no one around and because of this setting he lost hope of surviving. He thought he was going to die of heat stroke, not having any water left, on these short rolling hills and under the extremelyly hot sun. The cyclist was affected by the features of the setting, going from confidence, to desperation and despair, and then to relief, the changes in setting caused his change in attitude throughout this journey. "	3.0	3.0		3.0																					
6098	3	The setting of the essay didn’t really help the author at all on his journey. There were not many structures on the way. Either that, of the towns said to be, “a ghost town.” @CAPS1 this couldn’t have reassured the author that things were going his way. It also was very hot during his journey. The author says he is “traveling through the deserts of California in June.” Deserts are very hot places and June is during summer which is the hottest month so it had to have been extremely hot and humid. @CAPS1 all this must have taken a toll because he never really saw anything reassuring until the last town he reached with the bait store. So the setting definitely had to have affected his confidence and his energy levels.	3.0	2.0		3.0																					
6105	3	"In the stories, don’t exceed posted speed limit, there are some very descriptive settings. In the stories these settings have a great effect on the cyclist. Through these our settings the effects change. Some good effects some harsh effects. The first setting that is described do you is, ""the cool pines and rushing rivers of Yosemite had my name written all over them."" This setting gives you a vivid picture of were the cyclist is heading. This setting also establishes a happy sort of mood. Let the pretty picture is about to change. Not so much further in to the cyclist ride he noticed a change of terrain,"" flat road was replaced by short, rolling hills."" @CAPS1 the cyclist is short on water, and is becoming very tyered. Seeing this just crushes his spirit. @CAPS1 riding hills hard, but ridding hills with our knowing of something good waiting for you on the other side of the hills. Both of these, very different settings gives off very different feeling. The first one makes you think he is going to have as easy enjoy able bike ride. But this all changes when he hit those horrible hills. Just the thought of having so ride over miles of hills, makes your legs hurt. Over all the features of the setting saposed an intense bike ride for the cyclist, followed by a reward by beautiful place.      "	3.0	3.0		3.0																					
6113	3	The setting easily can affect the cyclist in many ways. The area in which the cyclist was in the seemed to be abandoned which doesn’t give a well thinking to this person . If a town was abandoned or a road was, automatically then won’t be any noticable building structures for a while. Also, the and and shape of the road seemed to be very dangerous for the cyclist not only because of the narrow and rocky path but because of the wildlife. In the text, it says how a diamond back snake, poisoness was directly infront of the cyclist. That example explains on how the wildlife might exceed to more dangerous creature. Finally, the temperature, whether it was hot or cold he cyclist was limited to water & being completely dehydrated was a huge caution for the cyclist. The conditions of the setting of the setting the cyclist was in became a disadvantage for him.	3.0	3.0		3.0																					
6118	3	As the features changed in the setting it becomes harder for the cyclist .At first the cyclist stoned off pretty easy .He had plat smooth roads to go through .He started out before the sun could to him.” The cool pines and rushing rivers of Yosemite my name written all it “He kept his mind off the sun and this helped him .Then, he got to a highway that made it kind of harder .I noticed the terrain changing. Flat road was replaced by short, rolling hills “So he had to pedal harder and would tire him faster.” At some point, tumble weeds crossed my path. Trying to keep my balance in my dehydrated state “.By the tumble weeds that means he was in the desert during a hot period of time .So he had little water left and he was becoming dehydrated .This was a hard task for him to overcome .By the terrain changing it become harder for him.	3.0	2.0		3.0																					
6121	3	The features of the setting greatly  effected the cyclist.  He was  riding along   on a  route he had little confidence would end up anywhere. That being the first time ever being on that rode and having only not of date knowledge about it made the cyclist rework. The temperature was very hot, where was little shade, the   sun was beating down on him. The route was very discouraging .all the cyclist wanted wanted   was water and the route kept touenting him with false hope. At the first town he noticed a water pump, but all he could get of it was sludge and water that tasted like battery acid. Next he came to a deserted old building that approved to be an old bottling factory for Welch’s  grape  juice. The cyclist would appear  to be closing in on something to drink, but be left with nothing.	3.0	2.0		3.0																					
6123	3	The byciclist from “Rough Road Ahead: Do Not Exceed speed Limit” was effected in many ways from the environment. The most talked about feature in the environment was the lack of water. The byciclist was going to die because there was no water and he was really dehydrated. Another feature was the heat. It was really hotwhere the narrator was bycicling. When @CAPS1 hot, the heat dehydrates you. So the narrator was being pushed to the limit because of the heat. Also, everyone was gone from the towns so every town he came to was hauntinghim until he got mad at the lodgers hetalked to and was really frustrated. The smooth flat road gave way to rolling hills, which made it harder for him to ride. Lastly, the snake inthe road affected him because he had to avoid it. All of these things affected him. 	2.0	0.0		3.0																					
6124	3	“Do not exceed posted speed limit” by Joe Kurmaskie is truly a story of man against nature. Here is a man who is completely alone except for his bike, the baron landscape and relentless sun. First he notices the sun, over head him, expected from California June, but not none the less. Then next come the rolling hills and incline in elevation, going up hill means his body working, harder, and burning calories and his much needed water supply. Then there is the man much torture. A speed limit of @NUM1,were he is going a tough 12. And worse a billboard of “a young boy pouring a refreshing glass of juice into his mouth,” this truly hit his emotions, showing him exactly what it was out of reach. In this story every element of his surrounding contributed to his hoplessness.	2.0	3.0		3.0																					
6127	3	The features of the setting in the story affected the cyclist a lot. In the morning when he began his trip, he was eager and determined to get to his destination. Although it took him forty miles to get   the first “town”, he didn’t seem to mind. “The cool pires and rushing rivers of Yosemite had my name written all over them,” is what crossed his mind once the sun began to beat down. Meaning that he   didn’t mind or wasn’t   troubled   by it  at the time. But the farther his trip went, the hotter, and less water supply he had left. Once he passed a couple of “troubling sights”, because they were abandoned and no one   was around, he began to worry. The cyclist got to the point that he stated to suck on pebbtes, in order to circulate the last spit he had in his mouth. In his desperation he finally saw a sign for hope that gave him strength in order to continue on. When he arrived at GARY AND @CAPS1’S FISH CAMP,  his   emotions, and mind changed from begin lugubvious, to becoming thankful.	3.0	3.0		3.0																					
6128	3	During his cycling trip, the author had to endure extreme heat, face snakes, deal with little or no shade and survive a dire lack of water, all problems related to the setting of Yosemite National Park. The author, cyclist Joe Kurmaskie, writes of becoming dehydrated, and describes, “the sun was beginning to beat down and l was traveling through the high deserts of California in June.” @CAPS1 struggle for him was crossing the path of a “ridiculously large snake” and “trying to keep his balance in his dehydrates state. Kurmaskie ran out of water, due to the extreme heat, and upon reaching a water pump, finds the water to be unfit for drinking and “in the neighborhood of zoo degrees.” @CAPS1 setting-related issue for kurmaskie was the fact the area seemed deserted and he had to continue for mile until he was able to find a spot with clean water where he could rest and rehydrate.	3.0	2.0		3.0																					
6132	3	This is how the setting effects the cyclist. One is the hot dry California desert heat. It was making him hot and thirsty which was making him low on water. The hot desert heat had made water a for like a substance which he could not drink from the well. The water bottle only containe a few tentalizing sips which was not enough to quench his thirst. The hot heat that would make birds pick him drys all of those examples make it hard for the reader to take the old timers advice. It made him realice that in time comes wisely and youth can make silly mistakes. The heat had made it only a trip for his inner soul to survive. That is ho the setting effects the cyclest.	3.0	3.0		3.0																					
6143	3	"There are a couple things that affect the cyclist in the story. One of the ways he is affected is de hydration. In the story about dehydration it says “ The water bottle contained only a few tantalizing sips. Wide rings of dried sweat circled my shirt, and the growing realization that I could drop from heat stroke on a gorgeous day in June.” A good affect on the cyclist was no one in sight to slow him down on his bike ride. A bad affect on him  was don’t ask direction from a guy from heat strokes on a gorgeous day in June simply because listened to some gentlemen who hadn’t been left their porch in decade, caused me to laugh”. One more thing that got in his way was the poisonous snake."" At some point, tumble weeds crossed my path and a ridiculously larg snake--It really did look like a diamond back.. Blocked the major of the parement in front of me""."	3.0	2.0		3.0																					
6144	3	The cyclist knowing not where he was going got a wrong enformation and he followed it. He was excited to know that he knows where he’s heading too. Along his journey he was aciccted with a lot of things like the sun. The weather condition of their exaction and the big snake he saw. He was affected by sun because he was dehydrating and he almost had no water left for him as it was also becoming so hot alike makes the journey very difficult for and made his mood strange while also following the direction he was disfernded by a big snake he encounter at the case slic desn't while succeed their add was scared that he was going to be attacked unlike anyone to make his way through. The features affects him because he doesn’t know where he was going and he wait a as her cut.” Then he was going to wrong direction and he wasn’t prepared for the journey because the weather condition was” summer time” it was hot and he was riding a bicycle not a car.	3.0	2.0		3.0																					
6145	3	The features of the setting affect the cyclist with his train of thought. On page @NUM1 it says, “I had been hitting my water bottles pretty regularly, and I was traveling through the high deserts of California in June.” This gives a sence of heat and foreshadows maybe the lack of water he’ll have later on. As he passes a snake, “trying to keep my balance in my dehydrated state.” So the cyclist is most likely begin to feel dizzy and begins to loose hope. On page @NUM2 he says, “…I could drop from heatstroke…” meaning he’s starting to think of the worse possible things that could happen. Which effects him because he’s beginning to loose hope and  thinks he’s not going to make it. On page @NUM3, he says, “I was going to die and the birds would pick me clean…” By this point the conditions he was having were rough and making him worry. This is how the features of the setting affected the cyclist throughout the story.	2.0	3.0		3.0																					
6157	3	The settings have a huge affect on the cyclist. When he first comes to the ‘@CAPS1 town” he isn’t really warried he is kind of laughing and thinks his funny by saying.” This place might have been a thriving little spot at one time  - say, before the last world war.” Then after he says that it ways he chuckled. When he gets the dark in the road with the risky pipe of water he begins to switch into conservation made and begins to get is scared. He says.” I would comer  water- a test at my inner spirit “ This showing that he was scared. After he sees the abanoned Grape juice factory he says something like birds are going to pick him clean and leave behind same expensive biking gear. This definatly shows that he is giving up. Another thing that would back this up is when he talks about writing in his diary about the old men who gives him these direction. When he finally reaches the balt shop he is releved and goes to the bathrom and drinks water. He  also says that he will buy bait even though he doesn’t have a rod. These examples show the many ways the setting affected the cyclist.	3.0	2.0		3.0																					
6158	3	"In the story, ""Do not exceed posted speed limit, the faetures of the setting effect the cyclist. To keep cool on a hot summer day, is might be neccessary for one to find shade. Just to add to the misfortune of the story. There was no one in eight, not a building, car or structure of any kind."" This factor does not help the cyclist at all, infact, all it does is make the cyclist more  exhausted. Another element in the story that effects the cyclist is the lack of water. Early on in the story the author explains, ""The water bottle contained only a few tatalizing sips."" With more miles to go,the cyclist starts to loose hope of making it to his destination alive. The feature of rolling hills also affects the cyclist. The cyclist is already tired enough, and just to  add to his misfortune, ""flat roads was replaced by short, rolling hills."" @CAPS1 the hills are short, they still could have put impact on him because of the ropolalive hills. Many features of the story effected the mood of the story."	2.0	3.0		3.0																					
6165	3	"In “Rough Road Ahead: Do Not Exceed Posted Speed Limit"" by Joe Kurmaskie, he describes his trying biking trip through California. In the essay, he describes the weather with “I was traveling through the high deserts of California in June.” While this @MONTH1 not directly characterice the weather, the reader can confin a clear image of the sweltering heat of a desert in the summer. When the author comes across the “ghost town” followed by the dilapidated shack, and finally the sign that read “Rough Road Ahead,” his hope of finding Yosemite Park was gone. The hopelessness of the situation made the author want to give up, thinking that he was going to die out in the desert from dehydration and exhaustion. This can be related to anyone that has been lost in unfavorable conditions, and the feeling of helplessness and fear that goes along with it. It feels like everything is against you, with nothing working in your favor, and this is what the author experiences in his description of his trip in “Rough Road Ahead: Do Not Exceed Posted Speed Limit.”"	3.0	3.0		3.0																					
6167	3	To begin with a feature that affect the cyclist was a lack of water this is shown when the speaker says when I tried a drop or two, it had the flavor of battery acid-thats was one of the biggest factors he had risked. 	3.0	2.0		3.0																					
6171	3	"The features of the setting strongly affected the cyclist. The rolling hills were the cyclist’s most challenging problem because they were long and cripppling. Maneuvering down the hill would take a lot of energy and determination from the cyclist. Considering the cyclist was already tired and sweating from riding on rough roads and passing a large snake, riding on rolling hills would be extremely difficult. The features of the setting were not helping the cyclist stay healthy because their difficulty was causing the cyclist to become dehydrated and possibly drop from heatsroke. However, the cyclist kept a possitive attitude and did not give up. His determination saved him as he felt relief when he finally came across the ""Gary and wilbells fish camp.” In conclusion, the features of the setting affected the cyclist because they forced him to work extra hard and put forth more effort. But with determination,you can accomplish anything!  "	3.0	3.0		3.0																					
