LP	SYSTEM	BLEU P	ROUGE-1	ROUGE-2	ROUGE-L	BERTScore RoBERTa MNLI (idf) P	BERTScore RoBERTa MNLI (idf) R	BERTScore RoBERTa MNLI (idf) F1	BERT_WMS	BERT_SMS	BERT_S+WMS	ELMO_S+WMS	ELMO_SMS	ELMO_WMS	GLOVE_S+WMS	GLOVE_SMS	GLOVE_WMS	HUMAN
de-en	online-Y.0	0.5432172305703746	0.6664220153417026	0.4378768141070384	0.6467326599963504	0.721217155456543	0.7147877812385559	0.7181843519210815	0.026490276521230014	0.061272366325969385	0.031744216670968495	0.026551143154325458	0.06776743067651854	0.01953625700219341	0.34474068083232723	0.5022864035665044	0.25218348970708715	0.31
de-en	uedin.5766	0.5558360712751977	0.6870999637075947	0.4647683184249805	0.6659504724630066	0.7295615077018738	0.715531051158905	0.7227667570114136	0.040559597025436114	0.07998075393123373	0.047001906289704416	0.04183794914125604	0.09150483352816983	0.03221866461996786	0.3738290549233087	0.5230598773213723	0.28476333802554343	0.261
et-en	CUNI-Kocmi.5618	0.37449327853386905	0.5303562956842045	0.26659048633417626	0.5006610479945616	0.5518515706062317	0.5493906140327454	0.5509940385818481	0.006821289350708025	0.02256134174735036	0.008424530521261976	0.007473125758661678	0.02783409390142502	0.005526668390031485	0.2150725796328086	0.4078791118529962	0.12433432628689108	0.006999999999999999
et-en	HY-NMT-et-en.5463	0.40372427613438655	0.5651343777582439	0.3016540788093488	0.532437251021322	0.5871665477752686	0.5766240358352661	0.582172691822052	0.012335696239192234	0.03311015860077888	0.014629554768736144	0.012251977410152293	0.037832643731573586	0.00938159371612422	0.2481693225918281	0.4366211829724985	0.15499293703065886	0.106
et-en	M4t1ss.5692	0.4195665122259387	0.570975264017141	0.3115625887536357	0.5397135871844762	0.5957837104797363	0.6042268872261047	0.6003186702728271	0.011896350750870073	0.03284298501208445	0.014011042909480279	0.011975056415497877	0.038991216977108466	0.009232897752829823	0.25614628306794096	0.44493258512630585	0.1599186829112435	0.187
et-en	NICT.5664	0.4459795180153353	0.5929416299169155	0.3384163008074481	0.5636488475771236	0.6339606046676636	0.6315869688987732	0.6330767273902893	0.012701008592902976	0.03741249918208879	0.015662834302557542	0.012885993883676785	0.04314909887527076	0.009362541003458751	0.2739973871195104	0.4570027527711309	0.17820259295199406	0.23800000000000002
et-en	UnsupTartu.5722	0.13212970813581434	0.26892179793168725	0.024488590733288348	0.2282994088620285	-0.02155408263206482	-0.009059782139956951	-0.01432274840772152	0.0004991814412684062	0.0008469735772629263	0.0005109287249970398	0.00044500516703058224	0.002315389034319212	0.00040138465408934103	0.07928342059551689	0.2515208626228904	0.02753222726997009	-0.95
et-en	neurotolge.ee.5398	0.34674272418026303	0.5058195315229719	0.2363090035207387	0.4768002415794447	0.4988077580928802	0.4884063899517059	0.4939546883106232	0.00783218328606832	0.01998167359357196	0.0089475431090039	0.007399658786842184	0.02516844592304281	0.005898796627899289	0.20807283221113249	0.40186128610280175	0.11934945652599065	-0.11699999999999999
et-en	online-A.0	0.3749672503066008	0.5346802580470917	0.2583898354649461	0.5002224967212422	0.5406937599182129	0.5449191331863403	0.5431730151176453	0.0076097442392980405	0.022997385235073074	0.009237179036554969	0.008345337196083038	0.02920044457570928	0.006265554239228418	0.2317145558637121	0.419172826918719	0.1402629507663178	0.063
et-en	online-B.0	0.3950633975266332	0.5529974280946509	0.2866501032536309	0.5225316876734888	0.5922199487686157	0.5835646390914917	0.5882940292358398	0.009705833220123826	0.028201464438884168	0.011593991319735934	0.01011166409112738	0.03517405348741303	0.007652276209665089	0.2441597505910267	0.4361759234638825	0.1490493484634866	0.11699999999999999
et-en	online-G.0	0.32137250920440186	0.4854907821695561	0.19003586045487386	0.4330471166657516	0.3245075345039368	0.427678257226944	0.3755829036235809	0.0037666194370134334	0.010615483447887479	0.004369727046416422	0.004093927947917708	0.016069771543897958	0.003148399427351161	0.1972854055094052	0.3869304927642349	0.11014787730645142	-0.341
et-en	talp-upc.5421	0.3823518450005096	0.5403675836591426	0.27205619839469874	0.5100273141256024	0.5679121017456055	0.5578566193580627	0.5632185935974121	0.008477025318393195	0.02589396891822355	0.010380195654660996	0.008899140482890864	0.031559236457192705	0.006652208488184715	0.23077617956999075	0.4220922515102233	0.13849600529767567	0.106
et-en	tilde-c-nmt-comb.5718	0.4323906626961647	0.5840990196424951	0.3237255579826752	0.5535143596277227	0.6073663234710693	0.6086490154266357	0.6083164811134338	0.01083163915792681	0.03292001771873435	0.013395535597767922	0.011487905905523585	0.03974475589477765	0.008357838579478555	0.26399413756774626	0.4486111330420775	0.16809041506986205	0.171
et-en	tilde-c-nmt.5715	0.4348487748128391	0.5844028531891252	0.3282758340858134	0.5546114880497164	0.6159209609031677	0.627756655216217	0.6221588850021362	0.011399728357471228	0.034869043869964735	0.014181701994731413	0.012127937219243342	0.04143736906938547	0.008866034446220548	0.2661299249780327	0.4518761651178563	0.1698068600492754	0.215
et-en	tilde-nc-nmt.5485	0.4489454265197249	0.5987049282565047	0.3417918598177654	0.5678239169744173	0.655998170375824	0.6596159338951111	0.6580886244773865	0.016160139112608916	0.04163762555810213	0.019189816403449324	0.016700473358669008	0.04854888470156447	0.012863124901431388	0.2841521202403243	0.467358859254061	0.18696788789782828	0.326
et-en	uedin.5562	0.42922864806677097	0.5801582557847019	0.32519130899954624	0.5507392008096945	0.6174911260604858	0.612599790096283	0.6153416633605957	0.013873532392967323	0.03661509750566008	0.0163687813411352	0.014027229589296428	0.04286866044023928	0.010784340206723976	0.26293023209946725	0.449360433494505	0.1674771288431364	0.18600000000000005
fi-en	CUNI-Kocmi.5619	0.3472660623057425	0.5064083623917439	0.2475401735604258	0.4767831996775369	0.5471853613853455	0.5385475158691406	0.5430869460105896	0.007535752526688104	0.02148140995447124	0.00899208331496397	0.007802071874618414	0.025551079006249484	0.006092232089509236	0.197719910897876	0.3817420714946425	0.11432673187580207	0.083
fi-en	HY-NMT-fi-en.5569	0.3626418528205292	0.5220544694548035	0.26667786284776035	0.4946742366027254	0.582904577255249	0.5585189461708069	0.570917010307312	0.01064756530124665	0.02626618009677949	0.012398041577994446	0.0107121751705495	0.029488270706456283	0.008741251012303301	0.2081669888328786	0.3866540235699065	0.12432679007175705	0.128
fi-en	JUCBNMT.5559	0.25093623452240416	0.3929849771854739	0.13754781768122062	0.3593563394597534	0.1067495048046112	0.31920260190963745	0.20972014963626864	0.0014986016282983164	0.007148715217991363	0.0017689562013416306	0.0010134930010780136	0.005801540300680366	0.0007409006957967903	0.12608636635191894	0.30391728702213305	0.058025839651504985	-0.40399999999999997
fi-en	NICT.5515	0.3723974526637602	0.5272297617458479	0.27848429957873816	0.5006420428513916	0.5831682682037354	0.5707632899284363	0.5771121978759766	0.00897450747121584	0.02696432743849271	0.011097201385554778	0.009846892290589932	0.03155678761466568	0.007488459153885991	0.215949450854712	0.4012754851608597	0.1294995987665035	0.153
fi-en	online-A.0	0.33276763564598266	0.4934377929571848	0.23081505675233915	0.4652225498228898	0.5118796229362488	0.5120838284492493	0.5122003555297852	0.00583947991399554	0.018161648500616315	0.007139329273954684	0.0063339200679282575	0.02182147808668097	0.004916559313162343	0.18876023670881006	0.3701902687991838	0.10676779318761574	0.045
fi-en	online-B.0	0.34285237818202424	0.5029838818825821	0.24385005364606385	0.4753197653347323	0.5466939806938171	0.5311276316642761	0.5391987562179565	0.007305311682707725	0.02138334631491816	0.008843742530333105	0.007608448098304506	0.02537131817778368	0.005880506597591696	0.1979359538287003	0.3815331073783277	0.11460770366900885	0.078
fi-en	online-G.0	0.3088702336668469	0.4517821201262893	0.18426339093095706	0.4131310453509812	0.4174700975418091	0.4467743039131165	0.432347297668457	0.003955756540958473	0.012049667490863895	0.004738090089309648	0.0037166236032031546	0.013883412373239552	0.002952387511711691	0.1724243942426933	0.3530126811543205	0.09344185125530777	-0.134
fi-en	talp-upc.5423	0.3374747667904112	0.4948358909022853	0.23843036753977506	0.4667503440388752	0.5322849750518799	0.5154463052749634	0.5240722894668579	0.007565773459176655	0.021183458056632545	0.009009092407202574	0.007853983066317018	0.025100534579219787	0.006193308694990603	0.1939611614026513	0.3795642419749857	0.11125786679943543	0.047
fi-en	uedin.5631	0.3607522749854472	0.5173648642232102	0.26536293285422796	0.4898553512111465	0.5688965320587158	0.5583529472351074	0.5638274550437927	0.007711111328874617	0.024559937586416208	0.00947455940448578	0.008082117835079264	0.02885027109331052	0.006070314003494854	0.20582250891146187	0.3927968866076995	0.12012773494738352	0.10300000000000001
ru-en	Alibaba.5720	0.4815236359637908	0.6225483952909323	0.38104546798245625	0.5976586133558933	0.687455415725708	0.6704277992248535	0.6791539192199707	0.02031060696748319	0.050436436651737526	0.024358337474586742	0.021489509610122283	0.05979861345973001	0.01633227913115268	0.3065629813439682	0.4869309058445832	0.20831683025504824	0.215
ru-en	JHU.5675	0.4160965748753449	0.561878460783487	0.3038886357591745	0.5347644349052112	0.587384045124054	0.5779258608818054	0.582194983959198	0.012985693972832058	0.03348815371376719	0.01543662225436909	0.01295833064404005	0.039604306987544496	0.010083760872843649	0.2575007048870511	0.4486444353872607	0.16114682483936302	-0.027000000000000003
ru-en	afrl-ruen-syscomb.5440	0.4348467334546886	0.5838774655118011	0.32948251460595723	0.5557365633615583	0.6292347908020021	0.6006738543510437	0.6150747537612915	0.011459695219451251	0.032646356160546015	0.013994373493645079	0.012419479475659549	0.0418338759153824	0.009144031043337714	0.2672618437328673	0.4545913657870613	0.17078310311316064	-0.013999999999999999
ru-en	online-A.0	0.4340745170146508	0.5831674104145292	0.32489746403262626	0.5542250069215892	0.6182481050491333	0.619748592376709	0.618482768535614	0.014002887063735404	0.036330619562624206	0.01682439234117637	0.014711159013827028	0.04505304716767234	0.01115907473298178	0.2723645170453813	0.4578402474574889	0.17619658495911075	0.034
ru-en	online-B.0	0.4561540940513836	0.6028879698747258	0.3514610584805976	0.5751150422796271	0.6720472574234009	0.6631492376327515	0.6678876876831055	0.014250093378501073	0.04078536504141312	0.01771171768919246	0.01639174137182715	0.052085335669396056	0.01191835919384842	0.2909974246145589	0.475854552158369	0.1925634156693234	0.192
ru-en	online-F.0	0.3005113995878194	0.4532413269000373	0.17076895937906772	0.4192405515858026	0.4029747247695923	0.4615029692649841	0.4325750470161438	0.002483008832565008	0.008865452721567595	0.00299955337539575	0.002596533172522609	0.015129762576137512	0.001961486530820272	0.17856369653467774	0.38399766379246375	0.09130629657997222	-0.39799999999999996
ru-en	online-G.0	0.4665296199231204	0.6001862725716353	0.34789274997127595	0.5729735444812617	0.6642451882362366	0.6499318480491638	0.6573764085769653	0.017317983772636925	0.04472734312029162	0.021034503999710248	0.017535571301321582	0.05188096216312158	0.01315198182925231	0.29533867950015097	0.4771983284931924	0.19741066646724734	0.17
ru-en	uedin.5739	0.4561352118360834	0.602833511404222	0.3563129898601877	0.5757675237898098	0.655897319316864	0.6401670575141907	0.6482632160186768	0.016721049333666013	0.043679101317166534	0.02021768684087961	0.017512000131084553	0.051810479014730175	0.013218005193660056	0.2842053776065783	0.4695004616171928	0.1862929505544172	0.11
tr-en	NICT.5708	0.4012278311871739	0.5434850218049277	0.2916656039504459	0.5026552198703033	0.564562976360321	0.5505198240280151	0.557842493057251	0.015419198821572125	0.03422349032366443	0.017735785325370873	0.015326196453132691	0.04091508861925975	0.012098329999691378	0.2497087112111385	0.4333172421719318	0.15908493352646058	-0.055
tr-en	online-A.0	0.407890344998916	0.5485957468232601	0.2837125985813592	0.5016249824344122	0.5827997326850891	0.5685117244720459	0.5760217905044556	0.01587838685956481	0.03421016047810028	0.018173261972912608	0.014844229605470771	0.03925585359255075	0.011800203651868782	0.2610816946638604	0.4386556460196892	0.16959155494519318	0.04
tr-en	online-B.0	0.39620099350421256	0.5502456913875448	0.2839858066168792	0.5054005566949289	0.5822018384933472	0.5664147734642029	0.5746535062789917	0.015311098600590071	0.032637422525593617	0.01731375054200859	0.01391496458893278	0.03786743633793406	0.011214764119238002	0.2511225780528712	0.43407709094957103	0.15889391020284752	-0.004
tr-en	online-G.0	0.4089939817913269	0.5491031269811686	0.2869970887943902	0.5074478717077037	0.581828773021698	0.5600835680961609	0.5711928606033325	0.018078711721235333	0.036595087211065296	0.020384442769887788	0.016722198932019323	0.03952058798534528	0.013982965943029602	0.2569820034289801	0.4318968981866498	0.16766566529858826	0.045
tr-en	uedin.5709	0.4051257888620338	0.5481252792894789	0.2969094765696559	0.5087074022276593	0.5672062039375305	0.5621082186698914	0.5649972558021545	0.012752986626840858	0.03306801893667257	0.015316640917567625	0.012698556035752704	0.03952536340263926	0.00931871379228378	0.2513991664989642	0.4348159435733903	0.15992337644538865	-0.053
zh-en	Li-Muze.5736	0.4099045866845989	0.5510238333807812	0.3086030969223641	0.5124729407629277	0.6048140525817871	0.5790063738822937	0.5920969247817993	0.009581038888880334	0.028919773056467826	0.011734881198581655	0.009391488523709095	0.033648227936696806	0.006651212454013324	0.24037937208965085	0.42802531074102496	0.1475900079127627	0.091
zh-en	NICT.5539	0.403727345654026	0.5426794348701972	0.3006628996411484	0.5051649343987499	0.5921289920806885	0.554770827293396	0.573546290397644	0.011128508747904695	0.030044055983641536	0.013155433910909406	0.010903239938103848	0.03440266927066942	0.008397125596914709	0.2364361419246769	0.4248539408831218	0.14413931043894235	0.08900000000000001
zh-en	NiuTrans.5740	0.4163988807410736	0.5562257525316977	0.31615484748955064	0.5193644784241752	0.6046638488769531	0.5812521576881409	0.5931245684623718	0.01170770952429467	0.03184601094941108	0.013895895958090515	0.011651056022186844	0.037047779508008194	0.008638869382953333	0.2470232723561263	0.4344726377041658	0.15348772491641638	0.14
zh-en	Tencent-ensemble-system.5742	0.42670900557285785	0.5649865593414393	0.3253978773654335	0.5280499170242346	0.6028332710266113	0.5874938368797302	0.5953569412231445	0.013505976474960648	0.03469438309056572	0.015947720188077122	0.01250543836658286	0.03876416240031128	0.009356537000650205	0.2524155084166913	0.4377926016911031	0.15920170265634265	0.099
zh-en	UCAM.5586	0.4127127825602676	0.552205514041729	0.3095813279302072	0.5134425975223574	0.5952821969985962	0.5826998353004456	0.5892286896705627	0.011639954204274312	0.031740740338197175	0.013916454031004806	0.011776396185861907	0.03614870295588204	0.008972056843263502	0.2430034063148885	0.4301135078796252	0.15034531060343392	0.109
zh-en	UMD.5681	0.38762544161144413	0.5306732765510125	0.2842112195071961	0.4917283855993605	0.5705527067184448	0.5461646318435669	0.5579577684402466	0.01110785465326798	0.028951134338813512	0.013018489486852237	0.010327245530718995	0.032015307972546383	0.008054474764861581	0.2267438096638563	0.4162629316582492	0.1360684761676913	0.078
zh-en	Unisound.5668	0.4181738114463748	0.5539432236545532	0.3154825938299797	0.5167827554830787	0.5980870127677917	0.5815001130104065	0.5900211930274963	0.012823538920254304	0.03347961680761805	0.015038632642382315	0.012241685172163551	0.03720131121506221	0.009358537601770193	0.2478721754113773	0.4326471618706873	0.15543428024617678	0.094
zh-en	Unisound.5712	0.4226485507233919	0.5562102513532894	0.319484223383625	0.5189052604099214	0.6014416813850403	0.5845581889152527	0.5931897759437561	0.013852507456967656	0.0344142254170215	0.01597606541624251	0.012165198201498318	0.03786911294283237	0.00917407088101332	0.2524734477799314	0.4380617632708123	0.15891451306661433	0.10800000000000001
zh-en	online-A.0	0.3678348833846573	0.5110582191801305	0.2577383560427689	0.4696516782569506	0.5344196557998657	0.5135314464569092	0.5242723226547241	0.008838915801368205	0.024401630922982108	0.010385855743673277	0.007972972396423899	0.026797900547051	0.006129237393708933	0.21506189552823327	0.4049409556178187	0.1263059259098644	-0.061
zh-en	online-B.0	0.4187635174907842	0.5594557702843203	0.3192100129288621	0.5268527069150568	0.6032788753509521	0.5888283252716064	0.5963040590286255	0.018783151733497958	0.04024877982946848	0.021348213780459296	0.01678690399635132	0.04076718914506944	0.013562201650330364	0.250467388868672	0.4285789803173965	0.1612584356699926	0.111
zh-en	online-F.0	0.2488051675846296	0.3978131340624509	0.1302993650875571	0.3479581847485125	0.3377460837364197	0.3716627359390259	0.35528409481048584	0.003126898079204785	0.007715181567582712	0.003458603501429332	0.0028035033013802434	0.010810965919040846	0.0023802560718699287	0.1440453220032165	0.3479056765633768	0.06682692115705506	-0.377
zh-en	online-G.0	0.3076553622203984	0.4464783822244015	0.17542680998963625	0.3805816899759762	0.380075603723526	0.39915481209754944	0.39002296328544617	0.004372621204406681	0.010780721440535105	0.004823312736842954	0.003685967906146172	0.012256090711544505	0.0032494626255317603	0.17147230630422902	0.3636468862843141	0.08906968026068947	-0.327
zh-en	online-Y.0	0.38250540542185535	0.5264011568786112	0.27737800059720624	0.4909620247497311	0.5626205205917358	0.5442129969596863	0.5530682206153871	0.008968930265072438	0.02662509399921909	0.010840192698528012	0.008150283405131409	0.027796815545104773	0.0062512436501329285	0.2194831464587746	0.4091889978209368	0.12933728250603774	-0.005
zh-en	uedin.5652	0.3763280349591128	0.5258615912515363	0.2841950098215348	0.4907373210686711	0.5792841911315918	0.5269898772239685	0.5531208515167236	0.00954389670562889	0.02710311459416324	0.011351462961351366	0.009309932443761848	0.03108855474898748	0.007083213829828266	0.2188078454164192	0.4099005693830575	0.1290832691709044	-0.017
